token,document_frequency
광화문,150
광화문역,16
교보,49
넓다,438
다양하다,1278
문고,33
아주,1468
연결,302
있다,10445
좋다,6733
지하철역,80
책,179
호선,116
구경,643
때,1767
또한,970
많이,1219
바로,578
보기,269
볼일,7
와,482
잠깐,55
종류,370
주변,582
건,106
듯,250
번,718
애정,6
여기,953
요새,30
이렇다,200
인,237
자주,361
저도,39
정말로,87
프로모션,24
한,1942
핫,57
해,420
호텔,515
곳,5775
근처,632
낮,128
너무,1432
방문,3282
복잡하다,189
볼,1546
수,6288
약속,34
여유롭,46
잠시,112
주말,372
평일,133
한가하다,28
도,540
스마트폰,10
시간,2906
안쪽,45
위치,916
유용,55
이,4262
이용,420
장소,1481
쾌적,114
화장실,93
가족,570
공간,624
난,63
마음,372
모두,526
문화,814
사람,2318
어우러질,1
연인,61
위해,452
정책,7
좋아하다,838
터,61
가능하다,322
것,4465
구입,477
독서,9
마련,42
많다,4628
물론,250
아니다,1203
자리,152
추천,1329
피,114
가기,317
각,226
같다,2063
구비,20
더,1633
데리,101
도서,9
도서관,44
별로,260
보,127
분야,22
서적,16
서점,105
수도,351
아동,9
아이,1146
어린이,200
우리나라,198
웬만하다,24
이다,3061
접근성,120
지하철,648
최고,754
카페,522
특히,783
휴식,123
거지,1
기쁨,9
끼리,80
볼때,7
불끈불끈,1
생각,1251
선물,177
솓네,1
어디,110
없다,2087
이보,12
점,373
접근,125
지하,401
편하다,247
하나,766
항상,341
개인,250
경우,1281
경험,866
교재,1
그렇다,512
급하다,23
드라마,56
등,1117
땐,33
별,59
부대,19
사람과,27
시설,327
안,751
외국인,529
이유,146
재고,5
제일,139
준비,255
직원,341
친절하다,370
한국,3064
한글,77
가지,861
류,78
문구,40
뿐,220
음악,127
자료,78
자유롭다,29
전,833
충분하다,261
판매,434
함께,1025
귀찮다,27
날,549
당일,18
드림,6
매우,1774
밤,267
배송,25
수령,2
아침,218
전날,3
주문,63
꼭,1269
다른,1521
사고,110
사지,34
유독,5
군데,44
규모,235
여러,700
전자제품,21
점도,15
접,51
제품,328
지점,27
최대,99
팬시,2
거리,777
곳도,95
그만큼,40
대형,123
사,162
시선,17
여기저기,21
워낙,61
원목,2
책볼,1
테이블,50
물품,44
여러가지,119
가장,1045
국내,55
데이트,199
리,76
모델링,40
이후,145
중,926
코스,176
하나로,32
하니,59
혼잡,135
기도,82
길,462
사랑,400
어,212
자의,16
정말,1876
정신,63
집,291
창업,3
가끔,233
덥다,142
도심,141
매장,223
서울,2498
시끄럽다,49
오프라인,7
지적,5
환상,220
가게,864
가까이,69
가깝다,406
관,217
느낌,527
다시,557
동상,86
때문,1204
르,9
말,442
먼저,135
면세,44
면세점,198
명품,64
몽블랑,2
보스,3
상점,719
스,94
신선하다,243
아이스크림,32
얼마,42
예전,205
이순신,11
적,209
정도,678
충격,27
키,42
후,550
훨씬,233
년전,18
매번,46
분위기,419
아담,19
외로,2
이동,336
조용하다,234
그때,37
대표,180
명성,32
었,321
여전하다,233
임밸류,1
젤,10
종합,33
지금,248
흔하다,15
구,81
샘플,31
어지간하다,6
요즘,147
인터넷,96
종종,102
편이,173
힘들다,231
검색,85
곳곳,52
굳이,55
밖,166
분,711
불편하다,145
비치,2
원,551
전용,86
컴퓨터,26
편리하다,310
한적,49
그냥,569
너무나,99
옆,420
음반,5
음식,1108
코너,40
그,1727
내,928
눈치,4
또는,573
무조건,21
순위,21
신간,2
안보,10
오래,440
의자,35
일,549
주기,26
처음,413
필요하다,350
다,1028
단,117
둘,74
둘째,12
또,333
봄방학,1
양식,59
역시,161
첫째,12
타고,161
괜찮다,390
극장,83
꽤,496
멀티,18
백화점,415
쇼핑,1614
스럽다,108
양,67
온건,1
정돈,28
플랙,2
혼란,42
가면,453
굉장하다,156
멀다,98
시스템,65
일단,114
정리,57
찾기,200
늘,85
단위,40
대신,101
부딪히다,2
생활용품,4
쉽다,94
식당가,64
식사,395
어깨,5
외국,163
요긴,3
용이,31
우선,48
인파,20
일상,53
조심,59
주차,232
줄,192
층,823
카페나,14
해결,83
겸사겸사,12
경복궁,771
광장,96
둘러보기,62
만날,43
맛집,234
세종,27
종로,67
즐겁다,630
청계천,36
친구,739
회관,9
강추한,4
겨울,192
남,25
만남,19
보고,645
시절,20
도착,275
심심하다,11
곳이었,33
까지,66
깜짝,30
나,1847
눈,261
덕분,48
마자,9
버젼,2
분간,2
브랜드,397
서리,8
쇼핑몰,635
악세,5
오랜만,61
오히려,60
온,194
입구,339
좀,604
집중,34
쪽,177
책보,4
팬,146
형태,30
누군가,26
동안,604
듭니,28
만족,97
빨리,62
서비스,172
속,132
장소라,6
책방,3
두,491
버스,209
번만,7
비롯,39
수도권,4
안식,2
어느,119
여유,157
지나,39
참,209
훌쩍,2
공사,60
기분,174
내부,470
단지,155
문학,8
문화생활,40
일부러,19
한결,3
해지,20
현재,189
구성,158
유명하다,376
편안하다,171
간단하다,150
거,192
고요,225
그래서,279
근데,29
기본,171
나름,64
런가,9
루니,1
마냥,7
물건,417
반디,1
방앗간,1
북적,77
서도,41
식당,424
안식처,5
앤,8
영풍문고,4
외,117
이구,22
저,1298
종일,130
참새,1
플레이,53
하루,506
핫트랙스,2
가운데,81
부담,51
언제,95
없이,242
이기,159
짬,2
대규모,49
수양,1
역,508
역사,2203
육체,1
자랑,56
자랑햐,1
전통,707
제목,23
간혹,14
독특하다,210
사기,69
상품,268
아이디어,27
어떻다,521
재미,572
직접,180
한번,549
악세사리,27
온라인,52
이어도,3
중심,181
활황,1
고고,7
거대하다,701
결코,36
고전,28
곤,3
그것,433
노트북,9
놀랍다,471
당신,428
라이프,28
를,589
만년필,1
모음,20
및,2083
백,33
보유,20
손,91
스타일,117
어렵다,227
업자,1
영어,726
예술가,51
용품,69
우,24
은,730
인상,392
잉크,2
작,81
종이,17
촉촉하다,2
컬렉션,123
클래식,36
할인점,1
훌륭하다,604
가격,1233
경향,18
국경,1
나은,119
레스토랑,485
므,13
미국,136
상기,11
선택,447
섹션,134
션,83
언어,158
에디,3
외국어,12
저렴,868
전문,62
전역,6
정식,10
제공,512
체인,12
가치,953
목도,2
반드시,218
커다랗다,50
편지지,3
항,4
확인,326
흥미롭다,1012
누구,80
달리,51
대한,639
도시,333
벤치,32
열정,24
의,1269
점재,1
종로구,14
지하실,28
특정,111
퍼즐,11
한국어,224
개발,40
관련,148
노벨,1
매점,25
반즈,2
소,40
여지,25
예,132
의심,29
작다,780
참으로,11
최선,10
포함,193
숍,37
아마,129
전자,89
지루하다,116
커피,186
향수,23
가방,137
고정,25
군중,26
기념품,338
낭비,46
똑같이,8
마찬가지,36
목록,64
비슷하다,97
세계,242
소형,11
엄청나다,82
열중,2
요약,22
이외,25
입력,107
장난감,66
재료,65
적용,16
정지,21
지갑,27
특별하다,325
결정,87
관리인,1
그녀,113
당하다,13
도움,189
바탕,5
발견,189
번호,26
빌딩,96
압도,62
여성,148
인쇄,26
정보,680
제,849
준,72
지정,37
청,4
촉박,3
카운터,42
하자,16
확실하다,256
효율,12
간,161
관중,1
국가,146
금치,3
멋지다,1175
모서리,6
문화원,2
민족,40
북한,46
비틀,2
성과,11
싱가포르,7
예술,534
움,209
일요일,90
작품,358
전쟁,869
정체,7
지역,732
터틀,2
필기구,2
현행,1
거의,342
게시,15
고프다,16
그대로,120
마치,60
모든,1627
모양,43
배,100
스티커,17
아름답다,1492
협조,11
새,125
아늑,6
짧다,146
향기,13
호흡,4
건물,1321
고객,107
남아,30
대구,11
만약,230
불만,13
비,397
비밀,16
사실,179
센터,264
심각하다,21
아지트,2
억수,1
에서,522
오후,247
완벽하다,155
코트,159
푸드,154
활성화,18
사용,710
저장,84
평화롭다,78
곳일,11
내용,157
년,422
면,103
몇,783
뭔가,104
발표,4
비용,153
사무,7
실질,7
어려움,20
영원하다,12
이미,131
크게,58
픽션,1
개울,2
늑한,10
명,99
명소,194
서울특별시,5
세상,26
수만,6
수영,4
시작,265
실패,13
여,68
위,612
이름,206
자세하다,175
자신,226
팰리스,691
관광,360
관광명소,113
가장자리,7
게임,79
공유,36
다음,513
리더,10
살,480
설정,92
수준,177
스택,2
업계,2
우리,1709
이러하다,107
일이,145
적어도,112
주제,49
페이지,12
편,152
관심,357
글꼴,1
금월,1
기타,142
깨끗하다,310
메,21
물이,51
소규모,15
수많다,127
영화,167
오른쪽,86
일본어,70
일부,476
잡지,6
중국어,91
참조,290
패턴,9
하하,47
마차,126
예약,165
포장,175
거치,2
교통,202
궁전,1134
실내,189
아웃,156
이때,4
천국,125
체크,199
감상,121
단순,9
도보,124
라면,225
맛,272
성,82
얼마나,118
관리,147
부모,17
감동,95
나라,226
이상,370
크기,155
강남,121
구사,38
기록,204
디톡싱,2
리뷰,94
링크,5
맞견주,2
문방,3
바이,25
보지,98
부분,256
성장,9
심지어,127
어드,9
어른,108
오일,4
용구,3
유사하다,86
즉,59
처녀,1
크레용,2
트립,13
페인트,19
