0,1,2,3,4,5,6,7,8,9
교보문고 광화문,55,73,78,115,331,702,849,800,831
롯데월드타워&몰,1116,142,155,25,19,212,427,747,457
SM타운 코엑스아티움,155,212,457,747,39,142,1116,972,578
홍대앞 예술시장 프리마켓,20,765,642,12,643,136,653,44,648
광장시장,42,821,765,12,46,797,11,660,126
고투 몰,57,20,12,62,16,35,181,148,25
신세계 백화점 본점,126,43,51,18,29,393,404,747,41
타임스퀘어,821,393,404,136,18,666,624,6,29
가로수길,643,653,642,628,51,15,41,30,644
라인프렌즈 플래그십 스토어 명동역점,214,86,154,565,578,140,69,45,38
스타필드 코엑스몰,18,51,39,29,6,43,15,393,30
통인시장,765,12,4,126,821,71,274,388,942
마장 축산물시장,4,11,765,59,3,5,20,13,181
남대문시장,42,21,918,20,660,44,53,62,16
쌈지길,274,666,1116,563,427,29,24,667,420
롯데백화점 본점,41,29,51,73,393,30,50,643,10
강남 지하상가,19,72,62,25,13,71,53,50,5
중부시장,116,173,563,199,61,57,624,42,90
IFC 몰,43,393,10,404,29,51,6,22,747
동대문 쇼핑몰,16,25,72,457,62,74,41,50,53
동대문 시장,3,13,5,44,62,643,16,12,42
노량진 수산물 도매시장,59,42,13,772,656,918,144,660,4
디큐브시브,18,31,43,10,37,1112,90,502,503
삼성 딜라이트,360,219,159,343,834,1121,238,249,988
카카오프렌즈 홍대 플래그십 스토어,165,274,71,11,1116,14,427,443,35
고속터미널상가,19,53,16,50,62,72,155,683,35
신라면세점,114,1111,214,157,48,99,49,683,134
Unni Tour,424,881,974,968,611,609,491,145,97
현대백화점 압구정본점,90,952,563,61,430,18,29,30,43
커먼그라운드,393,404,41,43,30,15,624,18,6
압구정 로데오 거리,624,393,29,404,10,41,43,621,18
신세계 강남점,90,22,428,401,67,1112,37,952,503
프린세스다이어리 이대점,842,502,784,831,597,407,848,990,521
경동시장,47,188,736,11,193,46,56,213,730
라인 프렌즈 플래그십 스토어 가로수길점,917,698,179,442,865,55,773,831,986
롯데아울렛 서울역점,50,683,38,5,41,39,155,71,19
스타일난다 핑크호텔,39,55,707,806,106,461,51,866,732
아이파크몰,430,22,31,116,90,503,563,28,43
동대문 밀리오레,35,48,49,107,971,182,188,5,50
롯데 영플라자 명동점,10,50,51,35,18,1079,53,155,181
서울약령시장,988,759,726,837,551,147,492,791,137
