id,place,tag_list,count,avg_score,first_tag,second_tag,third_tag,fourth_tag,fifth_tag
1,교보문고 광화문,"['음식, 식사', '쇼핑', '아이', '구매', '휴식', '비싸다', '문화']",74,4.540540541,"음식, 식사",쇼핑,아이,구매,구매
2,롯데월드타워&몰,"['상품', '비싸다', '음식, 식사', '싸다, 저렴하다', '쇼핑', '친구', '산책']",203,4.206896552,상품,비싸다,"음식, 식사","싸다, 저렴하다","싸다, 저렴하다"
3,SM타운 코엑스아티움,"['음식, 식사', '박물관', '상품', '쇼핑', '예술', '싸다, 저렴하다', '비싸다']",66,4.181818182,"음식, 식사",박물관,상품,쇼핑,쇼핑
4,홍대앞 예술시장 프리마켓,"['음식, 식사', '쇼핑', '시장', '가격', '싸다, 저렴하다', '먹다', '공연']",75,4.386666667,"음식, 식사",쇼핑,시장,가격,가격
5,광장시장,"['음식, 식사', '시장', '먹다', '싸다, 저렴하다', '가격', '관광지', '돈']",634,4.113564669,"음식, 식사",시장,먹다,"싸다, 저렴하다","싸다, 저렴하다"
6,고투 몰,"['쇼핑', '가격', '싸다, 저렴하다', '상품', '시장', '구매', '음식, 식사']",33,4.272727273,쇼핑,가격,"싸다, 저렴하다",상품,상품
7,신세계 백화점 본점,"['쇼핑', '음식, 식사', '비싸다', '먹다', '상품', '시장', '싸다, 저렴하다']",92,4.097826087,쇼핑,"음식, 식사",비싸다,먹다,먹다
8,타임스퀘어,"['쇼핑', '음식, 식사', '영화', '비싸다', '시장', '먹다', '싸다, 저렴하다']",103,4.174757282,쇼핑,"음식, 식사",영화,비싸다,비싸다
9,가로수길,"['음식, 식사', '쇼핑', '비싸다', '싸다, 저렴하다', '먹다', '관광지', '산책']",277,3.870036101,"음식, 식사",쇼핑,비싸다,"싸다, 저렴하다","싸다, 저렴하다"
10,라인프렌즈 플래그십 스토어 명동역점,"['쇼핑', '상품', '아이', '친구', '구매', '싸다, 저렴하다', '비싸다']",38,4.3684210530000005,쇼핑,상품,아이,친구,친구
11,스타필드 코엑스몰,"['쇼핑', '음식, 식사', '비싸다', '호텔', '싸다, 저렴하다', '아쿠아리움', '먹다']",227,3.933920705,쇼핑,"음식, 식사",비싸다,호텔,호텔
12,통인시장,"['음식, 식사', '시장', '먹다', '재미', '싸다, 저렴하다', '구매', '돈']",66,4.090909091,"음식, 식사",시장,먹다,재미,재미
13,마장 축산물시장,"['음식, 식사', '시장', '먹다', '가격', '싸다, 저렴하다', '쇼핑', '구매']",30,4.4,"음식, 식사",시장,먹다,가격,가격
