id,place,count_review,avg_review,돈,쇼핑,시장,"싸다, 저렴하다",비싸다,먹다,"음식, 식사",상품,구매,가격,호텔,박물관,전시관,관광지,유적지,미술관,역사,유익하다,문화,궁전,전쟁,활동,놀이공원,게임,친구,커플,재미,아쿠아리움,엔터테인먼트,아이,가족,경기,힐링,공원,휴식,풍경,자연,전망대,산책,분수,여유,나들이,공연,콘서트,이벤트,영화,예술,미술,강좌,요리,공예,체험
1,교보문고 광화문,74,4.540540541,1,16,0,4,9,1,18,5,11,2,3,0,0,2,0,0,3,0,8,2,1,0,0,1,1,2,3,0,0,15,2,0,0,0,9,0,0,0,0,0,4,0,0,0,0,2,2,0,0,0,0,0
2,롯데월드타워&몰,203,4.206896552,7,216,1,32,55,51,151,7,5,21,8,0,0,12,0,0,0,0,8,3,0,2,3,0,11,0,4,27,5,16,10,1,0,5,9,1,0,56,4,1,2,4,2,2,4,31,1,0,0,1,0,1
3,SM타운 코엑스아티움,66,4.181818182,7,15,2,11,11,1,27,19,9,5,1,21,6,2,0,0,5,0,3,1,0,3,0,0,4,0,8,0,9,9,2,0,0,0,1,0,0,0,0,0,0,0,6,5,1,3,13,0,0,0,0,0
4,홍대앞 예술시장 프리마켓,75,4.386666667,3,46,23,18,4,14,52,7,2,20,3,1,0,6,0,1,0,1,2,0,0,1,0,0,4,1,9,0,0,6,0,0,0,1,1,0,1,0,6,0,0,2,14,0,0,0,10,1,0,0,6,0
5,광장시장,634,4.113564669,20,84,805,165,30,647,1156,39,31,134,14,1,0,99,0,0,1,0,22,4,0,2,0,0,45,4,68,1,0,22,17,1,0,0,12,2,0,0,18,0,2,0,0,0,0,0,1,0,1,40,1,19
6,고투 몰,33,4.272727273,4,59,9,24,4,2,6,10,8,26,0,0,0,2,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
7,신세계 백화점 본점,92,4.097826087,4,164,16,15,55,17,105,17,15,13,9,0,2,6,0,0,0,0,1,0,0,0,0,0,4,0,5,0,1,7,3,0,0,1,2,0,0,0,1,1,2,0,0,0,0,0,0,0,1,5,1,1
8,타임스퀘어,103,4.174757282,1,235,16,13,23,14,101,6,2,6,11,0,0,3,0,0,0,0,2,0,0,0,0,1,2,1,5,0,4,5,2,0,0,0,5,0,0,0,1,0,1,1,2,0,4,28,0,0,0,1,0,0
9,가로수길,277,3.870036101,0,227,1,40,74,52,348,4,2,25,7,0,1,25,0,0,0,0,6,4,0,0,0,0,19,6,20,0,0,7,0,0,1,2,11,2,0,0,16,0,7,3,0,0,0,1,1,0,0,1,0,0
10,라인프렌즈 플래그십 스토어 명동역점,38,4.368421053,0,21,0,6,6,0,4,20,8,5,0,0,0,2,0,0,0,0,0,0,0,0,0,0,10,0,4,0,0,12,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
